Here are the properties for each step in the wizard in JSON format:|||
Property|Supported by Mods|Description|DSM Requirement
step_title|X|Optional. Describes the title of the current step performed in the wizard.|3.2-1922
items|X|Describes an array containing the components of "singleselect", "multiselect", "textfield", "password", or "combobox" type.|3.2-1922
type||Must be "singleselect", "multiselect", "textfield" "password" or "combobox". Must be "singleselect", "multiselect", "textfield" "password" or "combobox". #"singleselect" type represents the components in the sub-items which are all radio buttons. You can select only one radio box with a unique key. #"multiselect" type represents the components in the sub-items which are all checkboxes. You can check more than one checkbox. # "textfield" type represents the components in the sub-items which are all text fields. You can type text. #"password" type represents the components in the sub-items which are all password fields. You can type passwords.#"combobox" type represents the components in the sub-items which are all combobox fields. The user can choose a item in the combobox field.#Note: "combobox" type is only available in DSM 5.2 or newer.|3.2-1922
desc|X|Optional. Describe a component in the label text.|3.2-1922
subitems|X|Describe an array containing radio buttons, checkboxes, text fields, or password components.|3.2-1922
activeate||JSON-style string to describe a function which is run after the step of the wizard has been visually activated.|5.2
deactivate||JSON-style string to describe a function which is run after the step of the wizard has been visually deactivated.|5.2
invalid_next_disabled||If set to true, the next button in the step of the wizard will be disabled by default. It will be enabled if all items are validated scucuessfully by validator in this step.|5.2
Here are the properties for components in subitems in JSON format:|||
Property|Supported by Mods|Description|DSM Requirement
key|X|A unique component key value represents a UI component. If you select a component, this key will be set in the script environment variables of preinst, postinst, preupgrade, postupgrade, preuninst, postuninst, start-stop-status (the string value of the selected checkbox or radio button is always "true".).|3.2-1922
defaultVaule|X|Optional. true/false value to initialize "singleselect" or "multiselect" component, or a string value to initialize "textfield" or "password" component.|4.2-3160
emptyText|X|Optional. The prompt text to place into an empty "textfield" or "password" component to prompt the user how to fill in if defaultVaule is not set.|4.2-3160
validator||JSON-style object to describe validation functions. If the validation fails with the user's value, the user cannot go to the next step of the wizard. More detailed properties of validator are given in the validator table.|4.2-3160
width|X|The width of this component in pixels.|6.0
height|X|The height of this component in pixels.|6.0
disabled|X|true to disable the field (defaults to false).|6.0
hidden|X|true to hide this component.|6.0
invalidText||The error text to use when marking a field invalid and no message is provided.|6.0
preventMark|X|true to disable marking the field invalid. Defaults to false.|6.0
Here are the properties of validator:|||
Property|Supported by Mods|Description|Value
allowBlank||Specify false to validate that the value's length of "textfield" or "password" component is > 0|true/false
minLength||Minimum length of "textfield" or "password" component|Number
maxLength||Maximum length of "textfield" or "password" component|Number
vtype||Specify pre-defined validation function,#"alpha": validate alpha value#"alphanum": validate alphanumeric value#"email": validate email address#"url": validate URL|
regex||Describe validation function in regular expression and invalid message. Properties contain:#expr": Javascript Regular Expression#"errorText": invalid string
